apk_name,package_name,label,risk_score_prediction,targets_old_sdk,boot_persistence,user_persistence,suspicious_libraries,num_suspicious_urls,num_total_permissions,num_suspicious_permissions,perm_CAMERA,perm_RECORD_AUDIO,perm_WAKE_LOCK,perm_SYSTEM_ALERT_WINDOW,perm_BLUETOOTH_ADMIN,perm_WRITE_SETTINGS,perm_WRITE_SECURE_SETTINGS,perm_ACCESS_COARSE_LOCATION,perm_ACCESS_FINE_LOCATION,perm_ACCESS_BACKGROUND_LOCATION,perm_FOREGROUND_SERVICE_LOCATION,perm_ACTIVITY_RECOGNITION,perm_ACTIVITY_RECOGNITION,perm_ACCESS_WIFI_STATE,perm_ACCESS_NETWORK_STATE,perm_CHANGE_WIFI_STATE,perm_FOREGROUND_SERVICE_MICROPHONE,perm_FOREGROUND_SERVICE_CAMERA,perm_ACCESS_NOTIFICATION_POLICY,perm_RECEIVE_BOOT_COMPLETED,perm_REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,perm_REQUEST_DELETE_PACKAGES
Kids360: Parental Control App 2.41.0.apk,app.kids360.parent,1,,0,0,0,1,213988,22,6,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
TP-Link Tether 4.12.133_base.apk,com.tplink.tether,0,,0,0,0,0,496712,30,9,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0
CapCut - Video Editor 16.2.0_base.apk,com.lemon.lvoverseas,0,,0,0,0,0,393068,38,6,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
AirDroid Parental Control 2.6.4.0_base.apk,com.sand.airdroidkidp,1,,0,0,0,0,205887,31,12,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0
Find my Phone - Family Locator 6.20.6.apk,com.sygic.familywhere.android,1,,0,0,0,0,53311,26,10,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0
Life360: Stay Connected & Safe 26.1.1_base.apk,com.life360.android.safetymapd,1,,0,0,0,0,425699,43,16,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
Google Family Link 2.66.0.2025w47.842281197_base.apk,com.google.android.apps.kids.familylink,1,,0,0,0,0,10455,14,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Familo: Find My Phone Locator 2.99.3.apk,net.familo.android,1,,0,0,0,0,27681,28,9,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0
FlashGet Kids:parental control 1.3.6.1_base.apk,com.flashget.parentalcontrol,1,,0,0,0,0,95531,24,8,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0
IMEI tracker find my device 25.6.29_base.apk,com.hammersecurity,1,,0,0,0,0,132757,44,15,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1
